symbol,date,status,old_open,old_high,old_low,old_close,old_volume
GRASIM,2026-06-26,REMOVED_NSE_HOLIDAY_PLACEHOLDER,3126.60009765625,3126.60009765625,3126.60009765625,3126.60009765625,0.0
HCLTECH,2026-01-15,REMOVED_NSE_HOLIDAY_PLACEHOLDER,1668.5,1668.5,1668.5,1668.5,0.0
HCLTECH,2026-05-01,REMOVED_NSE_HOLIDAY_PLACEHOLDER,1199.0999755859375,1199.0999755859375,1199.0999755859375,1199.0999755859375,0.0
HCLTECH,2026-05-28,REMOVED_NSE_HOLIDAY_PLACEHOLDER,1165.199951171875,1165.199951171875,1165.199951171875,1165.199951171875,0.0
HCLTECH,2026-06-26,REMOVED_NSE_HOLIDAY_PLACEHOLDER,1100.699951171875,1100.699951171875,1100.699951171875,1100.699951171875,0.0
HDFCBANK,2026-01-15,REMOVED_NSE_HOLIDAY_PLACEHOLDER,925.4500122070312,925.4500122070312,925.4500122070312,925.4500122070312,0.0
HDFCBANK,2026-05-01,REMOVED_NSE_HOLIDAY_PLACEHOLDER,771.7000122070312,771.7000122070312,771.7000122070312,771.7000122070312,0.0
HDFCBANK,2026-05-28,REMOVED_NSE_HOLIDAY_PLACEHOLDER,758.6500244140625,758.6500244140625,758.6500244140625,758.6500244140625,0.0
HDFCBANK,2026-06-26,REMOVED_NSE_HOLIDAY_PLACEHOLDER,796.2999877929688,796.2999877929688,796.2999877929688,796.2999877929688,0.0
HDFCLIFE,2026-01-15,REMOVED_NSE_HOLIDAY_PLACEHOLDER,743.2000122070312,743.2000122070312,743.2000122070312,743.2000122070312,0.0
HDFCLIFE,2026-05-01,REMOVED_NSE_HOLIDAY_PLACEHOLDER,586.9000244140625,586.9000244140625,586.9000244140625,586.9000244140625,0.0
HDFCLIFE,2026-05-28,REMOVED_NSE_HOLIDAY_PLACEHOLDER,609.5999755859375,609.5999755859375,609.5999755859375,609.5999755859375,0.0
HDFCLIFE,2026-06-26,REMOVED_NSE_HOLIDAY_PLACEHOLDER,585.4500122070312,585.4500122070312,585.4500122070312,585.4500122070312,0.0
HEROMOTOCO,2026-01-15,REMOVED_NSE_HOLIDAY_PLACEHOLDER,5676.5,5676.5,5676.5,5676.5,0.0
HEROMOTOCO,2026-05-01,REMOVED_NSE_HOLIDAY_PLACEHOLDER,5099.0,5099.0,5099.0,5099.0,0.0
HEROMOTOCO,2026-05-28,REMOVED_NSE_HOLIDAY_PLACEHOLDER,5075.0,5075.0,5075.0,5075.0,0.0
HEROMOTOCO,2026-06-26,REMOVED_NSE_HOLIDAY_PLACEHOLDER,4896.10009765625,4896.10009765625,4896.10009765625,4896.10009765625,0.0
HINDALCO,2026-01-15,REMOVED_NSE_HOLIDAY_PLACEHOLDER,955.3499755859376,955.3499755859376,955.3499755859376,955.3499755859376,0.0
HINDALCO,2026-05-01,REMOVED_NSE_HOLIDAY_PLACEHOLDER,1038.0,1038.0,1038.0,1038.0,0.0
HINDALCO,2026-05-28,REMOVED_NSE_HOLIDAY_PLACEHOLDER,1149.699951171875,1149.699951171875,1149.699951171875,1149.699951171875,0.0
HINDALCO,2026-06-26,REMOVED_NSE_HOLIDAY_PLACEHOLDER,953.2000122070312,953.2000122070312,953.2000122070312,953.2000122070312,0.0
HINDUNILVR,2026-01-15,REMOVED_NSE_HOLIDAY_PLACEHOLDER,2353.5,2353.5,2353.5,2353.5,0.0
HINDUNILVR,2026-05-01,REMOVED_NSE_HOLIDAY_PLACEHOLDER,2250.89990234375,2250.89990234375,2250.89990234375,2250.89990234375,0.0
HINDUNILVR,2026-05-28,REMOVED_NSE_HOLIDAY_PLACEHOLDER,2198.39990234375,2198.39990234375,2198.39990234375,2198.39990234375,0.0
HINDUNILVR,2026-06-26,REMOVED_NSE_HOLIDAY_PLACEHOLDER,2174.199951171875,2174.199951171875,2174.199951171875,2174.199951171875,0.0
ICICIBANK,2026-01-15,REMOVED_NSE_HOLIDAY_PLACEHOLDER,1418.4000244140625,1418.4000244140625,1418.4000244140625,1418.4000244140625,0.0
ICICIBANK,2026-05-01,REMOVED_NSE_HOLIDAY_PLACEHOLDER,1263.4000244140625,1263.4000244140625,1263.4000244140625,1263.4000244140625,0.0
ICICIBANK,2026-05-28,REMOVED_NSE_HOLIDAY_PLACEHOLDER,1272.699951171875,1272.699951171875,1272.699951171875,1272.699951171875,0.0
ICICIBANK,2026-06-26,REMOVED_NSE_HOLIDAY_PLACEHOLDER,1387.5,1387.5,1387.5,1387.5,0.0
INDIGO,2026-01-15,REMOVED_NSE_HOLIDAY_PLACEHOLDER,4733.0,4733.0,4733.0,4733.0,0.0
INDIGO,2026-05-28,REMOVED_NSE_HOLIDAY_PLACEHOLDER,4570.0,4570.0,4570.0,4570.0,0.0
INDIGO,2026-06-26,REMOVED_NSE_HOLIDAY_PLACEHOLDER,5450.0,5450.0,5450.0,5450.0,0.0
INDUSINDBK,2026-01-15,REMOVED_NSE_HOLIDAY_PLACEHOLDER,944.5,944.5,944.5,944.5,0.0
INDUSINDBK,2026-05-01,REMOVED_NSE_HOLIDAY_PLACEHOLDER,916.0499877929688,916.0499877929688,916.0499877929688,916.0499877929688,0.0
INDUSINDBK,2026-05-28,REMOVED_NSE_HOLIDAY_PLACEHOLDER,932.2999877929688,932.2999877929688,932.2999877929688,932.2999877929688,0.0
INDUSINDBK,2026-06-26,REMOVED_NSE_HOLIDAY_PLACEHOLDER,918.9500122070312,918.9500122070312,918.9500122070312,918.9500122070312,0.0
INFY,2026-01-15,REMOVED_NSE_HOLIDAY_PLACEHOLDER,1599.800048828125,1599.800048828125,1599.800048828125,1599.800048828125,0.0
INFY,2026-05-01,REMOVED_NSE_HOLIDAY_PLACEHOLDER,1181.800048828125,1181.800048828125,1181.800048828125,1181.800048828125,0.0
INFY,2026-05-28,REMOVED_NSE_HOLIDAY_PLACEHOLDER,1159.9000244140625,1159.9000244140625,1159.9000244140625,1159.9000244140625,0.0
INFY,2026-06-26,REMOVED_NSE_HOLIDAY_PLACEHOLDER,1041.199951171875,1041.199951171875,1041.199951171875,1041.199951171875,0.0
IOC,2026-01-15,REMOVED_NSE_HOLIDAY_PLACEHOLDER,159.16000366210938,159.16000366210938,159.16000366210938,159.16000366210938,0.0
IOC,2026-05-01,REMOVED_NSE_HOLIDAY_PLACEHOLDER,142.25,142.25,142.25,142.25,0.0
IOC,2026-05-28,REMOVED_NSE_HOLIDAY_PLACEHOLDER,143.94000244140625,143.94000244140625,143.94000244140625,143.94000244140625,0.0
IOC,2026-06-26,REMOVED_NSE_HOLIDAY_PLACEHOLDER,143.88999938964844,143.88999938964844,143.88999938964844,143.88999938964844,0.0
ITC,2026-01-15,REMOVED_NSE_HOLIDAY_PLACEHOLDER,334.75,334.75,334.75,334.75,0.0
ITC,2026-05-01,REMOVED_NSE_HOLIDAY_PLACEHOLDER,314.8999938964844,314.8999938964844,314.8999938964844,314.8999938964844,0.0
ITC,2026-05-28,REMOVED_NSE_HOLIDAY_PLACEHOLDER,291.95001220703125,291.95001220703125,291.95001220703125,291.95001220703125,0.0
ITC,2026-06-26,REMOVED_NSE_HOLIDAY_PLACEHOLDER,290.0,290.0,290.0,290.0,0.0
JIOFIN,2026-01-15,REMOVED_NSE_HOLIDAY_PLACEHOLDER,287.0,287.0,287.0,287.0,0.0
JIOFIN,2026-05-01,REMOVED_NSE_HOLIDAY_PLACEHOLDER,246.3699951171875,246.3699951171875,246.3699951171875,246.3699951171875,0.0
JIOFIN,2026-05-28,REMOVED_NSE_HOLIDAY_PLACEHOLDER,242.88999938964844,242.88999938964844,242.88999938964844,242.88999938964844,0.0
JIOFIN,2026-06-26,REMOVED_NSE_HOLIDAY_PLACEHOLDER,239.42999267578125,239.42999267578125,239.42999267578125,239.42999267578125,0.0
JSWSTEEL,2026-01-15,REMOVED_NSE_HOLIDAY_PLACEHOLDER,1181.800048828125,1181.800048828125,1181.800048828125,1181.800048828125,0.0
JSWSTEEL,2026-05-01,REMOVED_NSE_HOLIDAY_PLACEHOLDER,1264.5,1264.5,1264.5,1264.5,0.0
JSWSTEEL,2026-05-28,REMOVED_NSE_HOLIDAY_PLACEHOLDER,1309.300048828125,1309.300048828125,1309.300048828125,1309.300048828125,0.0
JSWSTEEL,2026-06-26,REMOVED_NSE_HOLIDAY_PLACEHOLDER,1231.0,1231.0,1231.0,1231.0,0.0
KOTAKBANK,2026-01-15,REMOVED_NSE_HOLIDAY_PLACEHOLDER,421.0,421.0,421.0,421.0,0.0
KOTAKBANK,2026-05-01,REMOVED_NSE_HOLIDAY_PLACEHOLDER,383.2999877929688,383.2999877929688,383.2999877929688,383.2999877929688,0.0
KOTAKBANK,2026-05-28,REMOVED_NSE_HOLIDAY_PLACEHOLDER,388.7000122070313,388.7000122070313,388.7000122070313,388.7000122070313,0.0
KOTAKBANK,2026-06-26,REMOVED_NSE_HOLIDAY_PLACEHOLDER,409.0,409.0,409.0,409.0,0.0
LT,2026-01-15,REMOVED_NSE_HOLIDAY_PLACEHOLDER,3865.800048828125,3865.800048828125,3865.800048828125,3865.800048828125,0.0
LT,2026-05-01,REMOVED_NSE_HOLIDAY_PLACEHOLDER,4014.0,4014.0,4014.0,4014.0,0.0
