symbol,name,market,exchange
APEX,Apex Frozen Foods Limited,india,NSE
APLAPOLLO,APL Apollo Tubes Limited,india,NSE
APLLTD,Alembic Pharmaceuticals Limited,india,NSE
APOLLO,Apollo Micro Systems Limited,india,NSE
APOLLOHOSP,Apollo Hospitals Enterprise Limited,india,NSE
APOLLOPIPE,Apollo Pipes Limited,india,NSE
APOLLOTYRE,Apollo Tyres Limited,india,NSE
APOLSINHOT,Apollo Sindoori Hotels Limited,india,NSE
APTECHT,Aptech Limited,india,NSE
APTUS,Aptus Value Housing Finance India Limited,india,NSE
AQYLON,Aqylon Nexus Limited,india,NSE
ARCHIDPLY,Archidply Industries Limited,india,NSE
ARCHIES,Archies Limited,india,NSE
ARE&M,Amara Raja Energy & Mobility Limited,india,NSE
ARENTERP,Rajdarshan Industries Limited,india,NSE
ARFIN,Arfin India Limited,india,NSE
ARIES,Aries Agro Limited,india,NSE
ARIHANT,Arihant Foundations & Housing Limited,india,NSE
ARIHANTCAP,Arihant Capital Markets Limited,india,NSE
ARIHANTSUP,Arihant Superstructures Limited,india,NSE
ARIS,Arisinfra Solutions Limited,india,NSE
ARKADE,Arkade Developers Limited,india,NSE
ARMANFIN,Arman Financial Services Limited,india,NSE
AROGRANITE,Aro Granite Industries Limited,india,NSE
ARROWGREEN,Arrow Greentech Limited,india,NSE
ARSHIYA,Arshiya Limited,india,NSE
ARSSBL,Anand Rathi Share and Stock Brokers Limited,india,NSE
ARTEMISMED,Artemis Medicare Services Limited,india,NSE
ARTNIRMAN,Art Nirman Limited,india,NSE
ARVEE,Arvee Laboratories (India) Limited,india,NSE
ARVIND,Arvind Limited,india,NSE
ARVINDFASN,Arvind Fashions Limited,india,NSE
ARVSMART,Arvind SmartSpaces Limited,india,NSE
ASAHIINDIA,Asahi India Glass Limited,india,NSE
ASAHISONG,Asahi Songwon Colors Limited,india,NSE
ASAL,Automotive Stampings and Assemblies Limited,india,NSE
ASALCBR,Associated Alcohols & Breweries Ltd.,india,NSE
ASHAPURMIN,Ashapura Minechem Limited,india,NSE
ASHIANA,Ashiana Housing Limited,india,NSE
ASHIKA,Ashika Credit Capital Limited,india,NSE
ASHIMASYN,Ashima Limited,india,NSE
ASHOKA,Ashoka Buildcon Limited,india,NSE
ASHOKAMET,Ashoka Metcast Limited,india,NSE
ASHOKLEY,Ashok Leyland Limited,india,NSE
ASIANENE,Asian Energy Services Limited,india,NSE
ASIANHOTNR,Asian Hotels (North) Limited,india,NSE
ASIANPAINT,Asian Paints Limited,india,NSE
ASIANTILES,Asian Granito India Limited,india,NSE
ASKAUTOLTD,ASK Automotive Limited,india,NSE
ASMS,Avio Smart Market Stack Limited,india,NSE
ASPINWALL,Aspinwall and Company Limited,india,NSE
ASTAR,Asian Star Company Limited,india,NSE
ASTEC,Astec LifeSciences Limited,india,NSE
ASTERDM,Aster DM Healthcare Limited,india,NSE
ASTRAL,Astral Limited,india,NSE
ASTRAMICRO,Astra Microwave Products Limited,india,NSE
ASTRAZEN,AstraZeneca Pharma India Limited,india,NSE
ASTRON,Astron Paper & Board Mill Limited,india,NSE
ATALREAL,Atal Realtech Limited,india,NSE
ATAM,Atam Valves Limited,india,NSE
ATGL,Adani Total Gas Limited,india,NSE
ATHERENERG,Ather Energy Limited,india,NSE
ATL,Allcargo Terminals Limited,india,NSE
ATLANTAA,ATLANTAA LIMITED,india,NSE
ATLANTAELE,Atlanta Electricals Limited,india,NSE
ATLASCYCLE,Atlas Cycles (Haryana) Limited,india,NSE
ATUL,Atul Limited,india,NSE
ATULAUTO,Atul Auto Limited,india,NSE
AUBANK,AU Small Finance Bank Limited,india,NSE
AURIONPRO,Aurionpro Solutions Limited,india,NSE
AUROPHARMA,Aurobindo Pharma Limited,india,NSE
AURUM,Aurum PropTech Limited,india,NSE
AUSOMENT,Ausom Enterprise Limited,india,NSE
AUTOAXLES,Automotive Axles Limited,india,NSE
AUTOIND,Autoline Industries Limited,india,NSE
AVADHSUGAR,Avadh Sugar & Energy Limited,india,NSE
AVALON,Avalon Technologies Limited,india,NSE
AVANTEL,Avantel Limited,india,NSE
AVANTIFEED,Avanti Feeds Limited,india,NSE
AVG,AVG Logistics Limited,india,NSE
AVL,Aditya Vision Limited,india,NSE
AVONMORE,Avonmore Capital & Management Services Limited,india,NSE
AVROIND,AVRO INDIA LIMITED,india,NSE
AVTNPL,AVT Natural Products Limited,india,NSE
AWFIS,Awfis Space Solutions Limited,india,NSE
AWHCL,Antony Waste Handling Cell Limited,india,NSE
AWL,AWL Agri Business Limited,india,NSE
AXISBANK,Axis Bank Limited,india,NSE
AXISCADES,AXISCADES Technologies Limited,india,NSE
AXITA,Axita Cotton Limited,india,NSE
AYE,Aye Finance Limited,india,NSE
AYMSYNTEX,AYM Syntex Limited,india,NSE
AZAD,Azad Engineering Limited,india,NSE
BAFNAPH,Bafna Pharmaceuticals Limited,india,NSE
BAGFILMS,B.A.G Films and Media Limited,india,NSE
BAIDFIN,Baid Finserv Limited,india,NSE
BAJAJ-AUTO,Bajaj Auto Limited,india,NSE
BAJAJCON,Bajaj Consumer Care Limited,india,NSE
BAJAJELEC,Bajaj Electricals Limited,india,NSE
BAJAJFINSV,Bajaj Finserv Limited,india,NSE
BAJAJHCARE,Bajaj Healthcare Limited,india,NSE
BAJAJHFL,Bajaj Housing Finance Limited,india,NSE
BAJAJHIND,Bajaj Hindusthan Sugar Limited,india,NSE
BAJAJHLDNG,Bajaj Holdings & Investment Limited,india,NSE
BAJAJINDEF,Indef Manufacturing Limited,india,NSE
BAJAJST,Bajaj Steel Industries Limited,india,NSE
BAJEL,Bajel Projects Limited,india,NSE
BAJFINANCE,Bajaj Finance Limited,india,NSE
BALAJEE,Shree Tirupati Balajee Agro Trading Company Limited,india,NSE
BALAJITELE,Balaji Telefilms Limited,india,NSE
BALAMINES,Balaji Amines Limited,india,NSE
BALAXI,BALAXI PHARMACEUTICALS LIMITED,india,NSE
BALKRISHNA,Balkrishna Paper Mills Limited,india,NSE
BALKRISIND,Balkrishna Industries Limited,india,NSE
BALMLAWRIE,Balmer Lawrie & Company Limited,india,NSE
BALPHARMA,Bal Pharma Limited,india,NSE
BALRAMCHIN,Balrampur Chini Mills Limited,india,NSE
BALUFORGE,Balu Forge Industries Limited,india,NSE
BANARBEADS,Banaras Beads Limited,india,NSE
BANARISUG,Bannari Amman Sugars Limited,india,NSE
BANCOINDIA,Banco Products (I) Limited,india,NSE
BANDHANBNK,Bandhan Bank Limited,india,NSE
BANG,Bang Overseas Limited,india,NSE
BANKA,Banka BioLoo Limited,india,NSE
BANKBARODA,Bank of Baroda,india,NSE
BANKINDIA,Bank of India,india,NSE
BANSALWIRE,Bansal Wire Industries Limited,india,NSE
BANSWRAS,Banswara Syntex Limited,india,NSE
BASF,BASF India Limited,india,NSE
BASML,Bannari Amman Spinning Mills Limited,india,NSE
BATAINDIA,Bata India Limited,india,NSE
BATLIBOI,Batliboi Limited,india,NSE
BAYERCROP,Bayer Cropscience Limited,india,NSE
BBL,Bharat Bijlee Limited,india,NSE
BBOX,Black Box Limited,india,NSE
BBTC,The Bombay Burmah Trading Corporation Limited,india,NSE
BBTCL,B&B Triplewall Containers Limited,india,NSE
BCG,Brightcom Group Limited,india,NSE
BCLIND,Bcl Industries Limited,india,NSE
BCONCEPTS,Brand Concepts Limited,india,NSE
BCPL,BCPL Railway Infrastructure Limited,india,NSE
BDL,Bharat Dynamics Limited,india,NSE
BEARDSELL,Beardsell Limited,india,NSE
BECTORFOOD,Mrs. Bectors Food Specialities Limited,india,NSE
BEDMUTHA,Bedmutha Industries Limited,india,NSE
BEEKAY,Beekay Steel Industries Limited,india,NSE
BEL,Bharat Electronics Limited,india,NSE
BELLACASA,Bella Casa Fashion & Retail Limited,india,NSE
BELRISE,Belrise Industries Limited,india,NSE
BEML,BEML Limited,india,NSE
BENGALASM,Bengal & Assam Company Limited,india,NSE
BEPL,Bhansali Engineering Polymers Limited,india,NSE
BERGEPAINT,Berger Paints (I) Limited,india,NSE
BESTAGRO,Best Agrolife Limited,india,NSE
BETA,Beta Drugs Limited,india,NSE
BFINVEST,BF Investment Limited,india,NSE
BFUTILITIE,BF Utilities Limited,india,NSE
BGRENERGY,BGR Energy Systems Limited,india,NSE
BHAGCHEM,Bhagiradha Chemicals & Industries Limited,india,NSE
BHAGERIA,Bhageria Industries Limited,india,NSE
BHAGYANGR,Bhagyanagar India Limited,india,NSE
BHANDARI,Bhandari Hosiery Exports Limited,india,NSE
BHARATCOAL,Bharat Coking Coal Limited,india,NSE
BHARATFORG,Bharat Forge Limited,india,NSE
BHARATGEAR,Bharat Gears Limited,india,NSE
BHARATRAS,Bharat Rasayan Limited,india,NSE
BHARATSE,Bharat Seats Limited,india,NSE
BHARATWIRE,Bharat Wire Ropes Limited,india,NSE
BHARTIARTL,Bharti Airtel Limited,india,NSE
BHARTIHEXA,Bharti Hexacom Limited,india,NSE
BHEL,Bharat Heavy Electricals Limited,india,NSE
BI,Bilcare Limited,india,NSE
BIGBLOC,Bigbloc Construction Limited,india,NSE
BIKAJI,Bikaji Foods International Limited,india,NSE
BIL,Bhartiya International Limited,india,NSE
BILVYAPAR,BIL VYAPAR LIMITED,india,NSE
BIMETAL,Bimetal Bearings Limited,india,NSE
BIOCON,Biocon Limited,india,NSE
BIOFILCHEM,Biofil Chemicals & Pharmaceuticals Limited,india,NSE
BIRLACABLE,Birla Cable Limited,india,NSE
BIRLACORPN,Birla Corporation Limited,india,NSE
BIRLAMONEY,Aditya Birla Money Limited,india,NSE
BIRLANU,BirlaNu Limited,india,NSE
BIRLAPREC,Birla Precision Technologies Limited,india,NSE
BLACKBUCK,BLACKBUCK LIMITED,india,NSE
BLACKROSE,Black Rose Inds. Limited,india,NSE
BLAL,BEML Land Assets Limited,india,NSE
BLBLIMITED,BLB Limited,india,NSE
BLIL,Balmer Lawrie Investments Limited,india,NSE
BLISSGVS,Bliss GVS Pharma Limited,india,NSE
BLKASHYAP,B. L. Kashyap and Sons Limited,india,NSE
BLS,BLS International Services Limited,india,NSE
BLSE,BLS E-Services Limited,india,NSE
BLUECOAST,Blue Coast Hotels Limited,india,NSE
BLUEDART,Blue Dart Express Limited,india,NSE
BLUEJET,Blue Jet Healthcare Limited,india,NSE
BLUESTARCO,Blue Star Limited,india,NSE
BLUESTONE,BlueStone Jewellery and Lifestyle Limited,india,NSE
BLUSPRING,Bluspring Enterprises Limited,india,NSE
BMWVENTLTD,BMW Ventures Limited,india,NSE
BNAGROCHEM,BN Agrochem Limited,india,NSE
BNALTD,B & A Limited,india,NSE
BODALCHEM,Bodal Chemicals Limited,india,NSE
BOHRAIND,Bohra Industries Limited,india,NSE
BOMDYEING,Bombay Dyeing & Mfg Company Limited,india,NSE
BONLON,Bonlon Industries Limited,india,NSE
BORANA,Borana Weaves Limited,india,NSE
BOROLTD,Borosil Limited,india,NSE
BORORENEW,BOROSIL RENEWABLES LIMITED,india,NSE
BOROSCI,Borosil Scientific Limited,india,NSE
BOSCH-HCIL,BOSCH HOME COMFORT INDIA LIMITED,india,NSE
BOSCHLTD,Bosch Limited,india,NSE
BPCL,Bharat Petroleum Corporation Limited,india,NSE
BPL,BPL Limited,india,NSE
BRIGADE,Brigade Enterprises Limited,india,NSE
BRIGHOTEL,Brigade Hotel Ventures Limited,india,NSE
BRITANNIA,Britannia Industries Limited,india,NSE
BRNL,Bharat Road Network Limited,india,NSE
BROOKS,Brooks Laboratories Limited,india,NSE
BSE,BSE Limited,india,NSE
BSHSL,Bombay Super Hybrid Seeds Limited,india,NSE
BSL,BSL Limited,india,NSE
BSOFT,BIRLASOFT LIMITED,india,NSE
BTML,Bodhi Tree Multimedia Limited,india,NSE
BTTL,Bhilwara Technical Textiles Limited,india,NSE
BUILDPRO,Shankara Buildpro Limited,india,NSE
BUTTERFLY,Butterfly Gandhimathi Appliances Limited,india,NSE
BVCL,Barak Valley Cements Limited,india,NSE
BYKE,The Byke Hospitality Ltd,india,NSE
CALSOFT,California Software Company Limited,india,NSE
CAMLINFINE,Camlin Fine Sciences Limited,india,NSE
CAMPUS,Campus Activewear Limited,india,NSE
CAMS,Computer Age Management Services Limited,india,NSE
CANBK,Canara Bank,india,NSE
CANFINHOME,Can Fin Homes Limited,india,NSE
CANHLIFE,Canara HSBC Life Insurance Company Limited,india,NSE
CANTABIL,Cantabil Retail India Limited,india,NSE
CAPACITE,Capacit'e Infraprojects Limited,india,NSE
CAPILLARY,Capillary Technologies India Limited,india,NSE
CAPITALSFB,Capital Small Finance Bank Limited,india,NSE
CAPLIPOINT,Caplin Point Laboratories Limited,india,NSE
CAPTRUST,Capital Trust Limited,india,NSE
CARBORUNIV,Carborundum Universal Limited,india,NSE
CARERATING,CARE Ratings Limited,india,NSE
CARRARO,Carraro India Limited,india,NSE
CARTRADE,Cartrade Tech Limited,india,NSE
CARYSIL,CARYSIL LIMITED,india,NSE
CASTROLIND,Castrol India Limited,india,NSE
CCAVENUE,AvenuesAI Limited,india,NSE
CCCL,Consolidated Construction Consortium Limited,india,NSE
CCHHL,Country Club Hospitality & Holidays Limited,india,NSE
CCL,CCL Products (India) Limited,india,NSE
CDSL,Central Depository Services (India) Limited,india,NSE
CEATLTD,CEAT Limited,india,NSE
CEIGALL,Ceigall India Limited,india,NSE
CEINSYS,Ceinsys Tech Limited,india,NSE
CELEBRITY,Celebrity Fashions Limited,india,NSE
CELLO,Cello World Limited,india,NSE
CEMPRO,Cemindia Projects Limited,india,NSE
CENTENKA,Century Enka Limited,india,NSE
CENTEXT,Century Extrusions Limited,india,NSE
CENTRALBK,Central Bank of India,india,NSE
CENTRUM,Centrum Capital Limited,india,NSE
CENTUM,Centum Electronics Limited,india,NSE
CENTURYPLY,Century Plyboards (India) Limited,india,NSE
CERA,Cera Sanitaryware Limited,india,NSE
CEREBRAINT,Cerebra Integrated Technologies Limited,india,NSE
CESC,CESC Limited,india,NSE
CEWATER,Concord Enviro Systems Limited,india,NSE
CGCL,Capri Global Capital Limited,india,NSE
CGPOWER,CG Power and Industrial Solutions Limited,india,NSE
CHALET,Chalet Hotels Limited,india,NSE
CHAMBLFERT,Chambal Fertilizers & Chemicals Limited,india,NSE
CHEMBOND,Chembond Material Technologies Limited,india,NSE
CHEMBONDCH,Chembond Chemicals Limited,india,NSE
CHEMCON,Chemcon Speciality Chemicals Limited,india,NSE
CHEMFAB,Chemfab Alkalis Limited,india,NSE
CHEMPLASTS,Chemplast Sanmar Limited,india,NSE
CHENNPETRO,Chennai Petroleum Corporation Limited,india,NSE
CHEVIOT,Cheviot Company Limited,india,NSE
CHOICEIN,Choice International Limited,india,NSE
CHOLAFIN,Cholamandalam Investment and Finance Company Limited,india,NSE
CHOLAHLDNG,Cholamandalam Financial Holdings Limited,india,NSE
CIEINDIA,CIE Automotive India Limited,india,NSE
CIFL,Capital India Finance Limited,india,NSE
CINELINE,Cineline India Limited,india,NSE
CINEVISTA,Cinevista Limited,india,NSE
CIPLA,Cipla Limited,india,NSE
CLEAN,Clean Science and Technology Limited,india,NSE
CLEANMAX,Clean Max Enviro Energy Solutions Limited,india,NSE
CLEDUCATE,CL Educate Limited,india,NSE
CLSEL,Chaman Lal Setia Exports Limited,india,NSE
CMPDI,Central Mine Planning & Design Institute Limited,india,NSE
CMRGREEN,CMR Green Technologies Limited,india,NSE
CMSINFO,CMS Info Systems Limited,india,NSE
CNL,Creative Newtech Limited,india,NSE
COALINDIA,Coal India Limited,india,NSE
COASTCORP,Coastal Corporation Limited,india,NSE
COCHINSHIP,Cochin Shipyard Limited,india,NSE
COCKERILL,John Cockerill India Limited,india,NSE
COFFEEDAY,Coffee Day Enterprises Limited,india,NSE
COFORGE,Coforge Limited,india,NSE
COHANCE,Cohance Lifesciences Limited,india,NSE
COLPAL,Colgate Palmolive (India) Limited,india,NSE
COMFINTE,Comfort Intech Limited,india,NSE
COMPINFO,Compuage Infocom Limited,india,NSE
COMPUSOFT,Compucom Software Limited,india,NSE
COMSYN,Commercial Syn Bags Limited,india,NSE
CONCOR,Container Corporation of India Limited,india,NSE
CONCORDBIO,Concord Biotech Limited,india,NSE
CONFIPET,Confidence Petroleum India Limited,india,NSE
CONSOFINVT,Consolidated Finvest & Holdings Limited,india,NSE
CONTROLPR,Control Print Limited,india,NSE
CORALFINAC,Coral India Finance & Housing Limited,india,NSE
CORDELIA,Waterways Leisure Tourism Limited,india,NSE
CORDSCABLE,Cords Cable Industries Limited,india,NSE
COROMANDEL,Coromandel International Limited,india,NSE
CORONA,CORONA Remedies Limited,india,NSE
COSMOFIRST,COSMO FIRST LIMITED,india,NSE
COUNCODOS,Country Condo's Limited,india,NSE
CPCAP,CP Capital Limited,india,NSE
CPEDU,Career Point Edutech Limited,india,NSE
CPPLUS,Aditya Infotech Limited,india,NSE
CRAFTSMAN,Craftsman Automation Limited,india,NSE
CRAMC,Canara Robeco Asset Management Company Limited,india,NSE
CREATIVEYE,Creative Eye Limited,india,NSE
CREDITACC,CREDITACCESS GRAMEEN LIMITED,india,NSE
CREST,Crest Ventures Limited,india,NSE
CRISIL,Crisil Limited,india,NSE
CRIZAC,Crizac Limited,india,NSE
CROMPTON,Crompton Greaves Consumer Electricals Limited,india,NSE
CROWN,Crown Lifters Limited,india,NSE
CSBBANK,CSB Bank Limited,india,NSE
CSLFINANCE,CSL Finance Limited,india,NSE
CSM,CSM Technologies Limited,india,NSE
CTE,Cambridge Technology Enterprises Limited,india,NSE
CUB,City Union Bank Limited,india,NSE
CUBEXTUB,Cubex Tubings Limited,india,NSE
CUMMINSIND,Cummins India Limited,india,NSE
CUPID,Cupid Limited,india,NSE
CURAA,Cura Technologies Limited,india,NSE
CYBERMEDIA,Cyber Media (India) Limited,india,NSE
CYBERTECH,Cybertech Systems And Software Limited,india,NSE
CYIENT,Cyient Limited,india,NSE
CYIENTDLM,Cyient DLM Limited,india,NSE
DABUR,Dabur India Limited,india,NSE
DAICHI,Dai-Ichi Karkaria Limited,india,NSE
DALBHARAT,Dalmia Bharat Limited,india,NSE
DALMIASUG,Dalmia Bharat Sugar and Industries Limited,india,NSE
DAMCAPITAL,Dam Capital Advisors Limited,india,NSE
DAMODARIND,Damodar Industries Limited,india,NSE
DANGEE,Dangee Dums Limited,india,NSE
DATAMATICS,Datamatics Global Services Limited,india,NSE
DATAPATTNS,Data Patterns (India) Limited,india,NSE
DAVANGERE,Davangere Sugar Company Limited,india,NSE
DBCORP,D.B.Corp Limited,india,NSE
DBEIL,Deepak Builders & Engineers India Limited,india,NSE
DBL,Dilip Buildcon Limited,india,NSE
DBOL,Dhampur Bio Organics Limited,india,NSE
DBREALTY,Valor Estate Limited,india,NSE
DBSTOCKBRO,DB (International) Stock Brokers Limited,india,NSE
DCAL,Dishman Carbogen Amcis Limited,india,NSE
DCBBANK,DCB Bank Limited,india,NSE
DCI,Dc Infotech And Communication Limited,india,NSE
DCM,DCM  Limited,india,NSE
DCMFINSERV,DCM Financial Services Limited,india,NSE
DCMNVL,DCM Nouvelle Limited,india,NSE
DCMSHRIRAM,DCM Shriram Limited,india,NSE
DCMSIL,DCM Shriram International Limited,india,NSE
DCMSRIND,DCM Shriram Industries Limited,india,NSE
DCW,DCW Limited,india,NSE
DCXINDIA,DCX Systems Limited,india,NSE
DDEVPLSTIK,Ddev Plastiks Industries Limited,india,NSE
DECCANCE,Deccan Cements Limited,india,NSE
DECNGOLD,Deccan Gold Mines Limited,india,NSE
DEEDEV,DEE Development Engineers Limited,india,NSE
DEEPAKFERT,Deepak Fertilizers and Petrochemicals Corporation Limited,india,NSE
DEEPAKNTR,Deepak Nitrite Limited,india,NSE
DEEPINDS,Deep Industries Limited,india,NSE
DELHIVERY,Delhivery Limited,india,NSE
DELPHIFX,DELPHI WORLD MONEY LIMITED,india,NSE
DELTACORP,Delta Corp Limited,india,NSE
DELTAMAGNT,Delta Manufacturing Limited,india,NSE
DEN,Den Networks Limited,india,NSE
DENORA,De Nora India Limited,india,NSE
