date,nifty_close,nifty_return_1d,nifty_return_3d,nifty_return_5d,nifty_return_10d,nifty_return_20d,nifty_close_ema20_ratio,nifty_close_ema50_ratio,nifty_close_ema200_ratio,nifty_rsi14,nifty_distance_20d_high,nifty_distance_20d_low,nifty_gap_pct,nifty_atr_pct,nifty_rolling_volatility_20d,nifty_volume_ratio_20d,constituent_count,breadth_1d,breadth_5d,breadth_20d,above_ema20_breadth,above_ema50_breadth,above_ema200_breadth,relative_strength_breadth,high_volume_up_breadth,high_volume_down_breadth,median_return_1d,median_return_5d,median_return_20d,median_rsi14,median_volume_ratio_20d,median_atr_pct,median_relative_strength_20d,nifty_t1_close,nifty_t1_return,target_t1_direction
2024-03-04,22405.599609375,0.0029925402887358565,0.02070275182225023,0.012817474786981586,0.012808354004452571,0.029115797726944503,1.0168267028692575,1.033754038070627,1.1060895634370707,63.095771733713875,0.0,0.03652604428602957,0.0028985507246377384,0.009529029838719791,0.00655867500112448,0.9697520446579255,50.0,0.54,0.62,0.7,0.7,0.72,0.8,0.54,0.16,0.1,0.0016181631090003146,0.007347395452037442,0.040510430779329254,56.63215692319544,0.831680030326341,0.021137444442855754,0.01139463305238475,22356.30078125,-0.00220029050703785,0
2024-03-05,22356.30078125,-0.00220029050703785,0.01699055564924068,0.00711544662799124,0.007178984865424454,0.0194670343475285,1.0131816077441016,1.0302076984239141,1.1025187056861874,61.33350142835504,-0.00220029050703785,0.03424538587048942,-0.001533081460610708,0.008933724315844464,0.006459313527085199,0.9731256981404823,50.0,0.38,0.52,0.6,0.58,0.66,0.78,0.56,0.08,0.2,-0.003569543371754469,0.0014097945730853212,0.02598417695271693,55.02957010512823,0.8395730819371165,0.02151124222722378,0.006517142605188431,22474.05078125,0.005266971542034149,1
2024-03-06,22474.05078125,0.005266971542034149,0.0060567749426445605,0.023821092804699795,0.01899791590397104,0.024785152242311037,1.0167248904325523,1.0341885949485121,1.1071322988887102,63.92520396783477,0.0,0.039692726885349305,-0.001288262379890437,0.009248606633359571,0.006524609785801136,1.0317827408484208,50.0,0.64,0.64,0.62,0.62,0.64,0.8,0.48,0.24,0.18,0.002343579411414387,0.021285309737731017,0.020800962105544385,55.5560722443658,0.9460076251470102,0.022014942073914478,-0.003984190136766652,22493.55078125,0.0008676673462120199,1
2024-03-07,22493.55078125,0.0008676673462120199,0.003925410317436873,0.023234073086612295,0.012427239499077647,0.035712467815809834,1.0159035376000034,1.0336636894316087,1.1069023909530034,64.3513435281924,0.0,0.0405948343145619,0.0013904925420062941,0.009042913168340438,0.005999063850429526,1.2786079698438342,50.0,0.6,0.7,0.72,0.72,0.66,0.82,0.46,0.38,0.16,0.002073600982361423,0.01874185250889393,0.02866122581981223,56.04445088238254,1.076752579459654,0.021667374898914203,-0.007051241995997604,22332.650390625,-0.007153178801771132,0
2024-03-11,22332.650390625,-0.007153178801771132,-0.0010578847930349244,-0.0002730506127245347,0.005400116874303418,0.02525653118902782,1.0078076427671783,1.025213548992522,1.0979031727834452,58.23821922699758,-0.007153178801771132,0.03315127340451052,0.0010647149035252212,0.009279978356880807,0.006311646362608881,0.9466709815877774,50.0,0.38,0.58,0.64,0.68,0.68,0.82,0.5,0.18,0.26,-0.004086836940298322,0.003765818444322666,0.02780206938714158,55.76586925338964,0.8597524511978708,0.02152079334700021,0.0025455381981137615,22335.69921875,0.0001365188668460693,1
2024-03-12,22335.69921875,0.0001365188668460693,-0.006156058106597584,-0.0031197732639902664,0.009657713907839094,0.03329231804563637,1.0071831038180215,1.0243350594293403,1.0969827834923858,58.31901787219582,-0.00701763647878928,0.0272475006611248,8.054700599946507e-05,0.00936441934260379,0.005963912329359841,1.0171854017576365,50.0,0.24,0.38,0.66,0.58,0.66,0.82,0.48,0.1,0.22,-0.00531140374042649,-0.003942494596527235,0.027898814558495078,53.83151276854991,0.8111932711896124,0.022187289279624052,-0.0053935034871412935,21997.69921875,-0.015132725270416536,0
2024-03-13,21997.69921875,-0.015132725270416536,-0.022044165784324665,-0.016040290654917078,-0.009038977858978336,0.011702446448897952,0.9927035380541473,1.0084847045495424,1.0795190177623468,47.37569720387036,-0.022044165784324665,0.007218318266702273,0.004320437836080382,0.010448821288813255,0.006949744227490129,1.6414880873153201,50.0,0.14,0.32,0.48,0.28,0.48,0.78,0.38,0.12,0.6,-0.018829689238808955,-0.01715521651932378,-0.0022477234633229703,46.113777676230775,1.2197102741919301,0.0229498031102901,-0.013950169912220922,22146.650390625,0.006771215952804832,1
2024-03-14,22146.650390625,0.006771215952804832,-0.00832861289397524,-0.01456792964524889,0.008906139155399062,0.014038411011306762,0.9994800483847,1.0147040177449624,1.0858905006995099,51.6788620602434,-0.015422215638544956,0.010766422446744084,-0.0006886373592692729,0.010087788010609826,0.007036126878273527,1.404080289568937,50.0,0.7,0.36,0.48,0.46,0.56,0.78,0.38,0.5,0.28,0.011086042491117887,-0.009714620074782965,-0.0015806003120231171,50.09830762050682,1.1819762557766325,0.022996621181683614,-0.015619011323329879,22023.349609375,-0.005567468627318717,0
2024-03-15,22023.349609375,-0.005567468627318717,-0.013984321973354419,-0.020903821564132397,0.0018445706044694088,0.005139012100224827,0.9944917612773768,1.0086965112687827,1.078987609628939,48.167600146749756,-0.020903821564132397,0.003289085877742126,-0.0036935960882205077,0.01048011327770337,0.007144998906298899,2.0690949469041775,50.0,0.28,0.26,0.5,0.36,0.56,0.78,0.4,0.26,0.62,-0.003901587115468119,-0.012379130527292892,0.00037998276739853454,47.51790268049365,1.5655914995494362,0.023546190438399166,-0.004759029332826292,22055.69921875,0.0014688778023679294,1
2024-03-18,22055.69921875,0.0014688778023679294,0.0026366393786565467,-0.012401177962793941,-0.012670842426277251,0.0006805591715184356,0.9963366076211629,1.0097751178529955,1.0797068917224875,49.14389560596052,-0.019465648921244583,0.004762794945346149,-0.001509761257472153,0.010690143939300593,0.007027990527324545,1.1123078123780534,50.0,0.46,0.26,0.44,0.4,0.54,0.8,0.44,0.06,0.08,-0.001393491795170232,-0.015478228589256182,-0.013426577888952629,48.04431560395841,0.6603196067512058,0.02338979442893952,-0.014107137060471064,21817.44921875,-0.010802196640288697,0
2024-03-19,21817.44921875,-0.010802196640288697,-0.014864603272662702,-0.023202765891696342,-0.02625015178700707,-0.013778019019313081,0.9869299329355607,0.9989116986182425,1.0673210541393114,42.756412528143564,-0.03005757379415519,0.0,-0.004953368239041134,0.011232491532761868,0.0073721006489436075,1.0197461004044026,50.0,0.2,0.18,0.28,0.2,0.38,0.8,0.36,0.1,0.24,-0.011808073779430106,-0.025842009686694423,-0.030520585039616965,43.4813461195119,0.8654329549449483,0.024186754150201793,-0.016742566020303884,21839.099609375,0.0009923428906801757,1
2024-03-20,21839.099609375,0.0009923428906801757,-0.008366120652308351,-0.007209827164097904,-0.02313447009573122,-0.016121567240993673,0.9890481895687228,0.9999067666157633,1.0676537709460927,43.47538997598659,-0.029095058323140854,0.0009923428906801757,0.0012123860864663438,0.010918492981332002,0.0073223685784213925,0.9232496970771641,50.0,0.52,0.42,0.28,0.18,0.42,0.82,0.38,0.14,0.16,0.00038930646180457273,-0.008930770640252272,-0.028834055654883617,44.26615530550893,0.7831906944275085,0.024219037826223845,-0.012712488413889944,22011.94921875,0.0079146856998078,1
2024-03-21,22011.94921875,0.0079146856998078,-0.0019836142833689063,-0.0060822367942386935,-0.02056156084178329,-0.0019542717415388378,0.9971728592675891,1.007511715916854,1.0752896487901944,48.98445965121393,-0.0214106508653783,0.00891488267257401,0.0069050823498815195,0.010968879955699793,0.007443754990256548,1.0455736297568123,50.0,0.86,0.38,0.4,0.38,0.58,0.82,0.4,0.38,0.1,0.01029552699469205,-0.0038602769681984617,-0.011038564384581229,48.980016314254314,0.989781512494773,0.023548263299150156,-0.009084292643042391,22096.75,0.0038524885010076115,1
2024-03-22,22096.75,0.0038524885010076115,0.012801715656565849,0.003332844091697762,-0.017640646650628478,-0.005432631692396939,1.0009177526927315,1.0109414647507027,1.0785797126983994,51.48280520721193,-0.017640646650628478,0.012801715656565849,-0.0036230321634609375,0.010690481106626864,0.007299190000864781,1.1430167762045491,50.0,0.74,0.6,0.42,0.6,0.68,0.8,0.46,0.44,0.18,0.00800925200106073,0.011433197139892215,-0.017275674797230356,51.804992310878944,1.1095129385957896,0.023574738935788937,-0.011843043104833417,22004.69921875,-0.00416580634029895,0
2024-03-26,22004.69921875,-0.00416580634029895,0.007582712306688277,-0.0023123275074700134,-0.014684829885335482,-0.009364012808692146,0.997056914246274,1.0064644476175115,1.0732953469653304,48.69509550276993,-0.02173296547326331,0.008582579848017913,-0.006736267069818003,0.01088792519231827,0.007351549307185891,0.9513739009516636,50.0,0.4,0.58,0.44,0.56,0.66,0.8,0.46,0.2,0.34,-0.006003757527454301,0.006673870600530485,-0.015960366571881768,51.423654519024005,1.017622909809817,0.02393792514921345,-0.006596353763189622,22123.650390625,0.005405716783151604,1
2024-03-27,22123.650390625,0.005405716783151604,0.005074569760494141,0.014034691627096807,-0.009493717928785173,7.230836737592838e-05,1.002213184723457,1.0114329046930755,1.0782486554142305,52.29025659048708,-0.016444730946318153,0.014034691627096807,0.002238158291117953,0.010962243043401949,0.00741039082530244,1.1515833919774807,50.0,0.46,0.72,0.42,0.52,0.66,0.82,0.42,0.28,0.26,-0.0006579132450443836,0.018631663221975625,-0.012350583627930456,50.272486049894326,1.050981276035186,0.02368776261589708,-0.012422891995306384,22326.900390625,0.009187001078543977,1
2024-03-28,22326.900390625,0.009187001078543977,0.01041557652709102,0.022336121450748703,0.014965254711474696,0.005791006246505415,1.0103216234160723,1.0198960267876644,1.0872008784255658,57.73954898182682,-0.007408807628714431,0.0233506294327559,0.0018057245547022927,0.011244755988628837,0.007656720633030552,1.1303402034887724,50.0,0.86,0.84,0.54,0.76,0.74,0.84,0.46,0.74,0.12,0.012381300743796064,0.029379926343040874,0.002370447285855559,56.03675040683908,1.323607986580758,0.023671461680366317,-0.0034205589606498554,22462.0,0.006050979178091831,1
2024-04-01,22462.0,0.006050979178091831,0.020781960103337216,0.020445748660306906,0.014239155981280671,0.023272111041304555,1.0148465763440992,1.0250195692942667,1.0927598219471444,60.93361901342306,-0.0014026589913185283,0.029542902783340486,0.00573745603437148,0.011518647664468246,0.007257788858832267,0.0,50.0,0.62,0.84,0.76,0.78,0.76,0.84,0.48,0.08,0.04,0.0041404453918747475,0.023336844172203053,0.021367629549077338,57.085987739714916,0.5996360310403659,0.02393158581316126,-0.0019044814922272169,22453.30078125,-0.0003872860275131451,0
2024-04-02,22453.30078125,-0.0003872860275131451,0.01490036159515018,0.01613589243893343,0.019522514944410485,0.021403096206071615,1.0130590366583903,1.0236341806602443,1.0913339240095143,60.6159258340227,-0.0017894017886029845,0.029144175202367117,-0.00014242804514286167,0.011173494640351632,0.007265782324507793,0.8283735836099347,50.0,0.56,0.74,0.72,0.76,0.74,0.86,0.54,0.12,0.08,0.0012896981360961401,0.015593276660771815,0.027487416978576595,57.17976500406266,0.7367362622254596,0.02334999738320565,0.006084320772504981,22434.650390625,-0.0008306302403686683,0
2024-04-03,22434.650390625,-0.0008306302403686683,0.004826016962266921,0.01953906152503282,0.01718155330812854,0.004293006127245258,1.011041134910451,1.0218708907718932,1.0894471712709497,59.89492903455381,-0.0026185456977338983,0.028289336928744913,-0.0030107627897832945,0.011112894150268065,0.006341085444470637,0.891230191286325,50.0,0.38,0.74,0.58,0.7,0.72,0.86,0.52,0.22,0.14,-0.0026492990864041555,0.016885708660753007,0.0093837980451974,55.05885513357064,0.8550014925385854,0.023294613311144092,0.005090791917952142,22514.650390625,0.003565912488363576,1
